sigma_std,noise,seed,phi,phi_tempvar,ar1,real_mean,real_std,frac_lo,frac_hi
0.075,0.5,2,0.9742864403991685,0.00015653255823355522,0.9763886667398051,0.7000100612987902,0.07025571183248616,0.0,0.075
0.075,0.5,3,0.9722963892976609,0.00019018225486481345,0.9782258376119314,0.6970596880285599,0.07466684825108721,0.0,0.085
0.075,0.5,4,0.9720985875570735,0.0001686487484427399,0.9746232252466284,0.7031396357486145,0.07162132952306159,0.0,0.09
0.075,0.5,5,0.9739985458394388,0.0002558548933236216,0.9850782358261126,0.7067290175813754,0.07883597384401449,0.0,0.145
0.075,0.5,6,0.9667522414760557,0.0004804516252102949,0.9889840666057577,0.6968693033593442,0.08057724670938925,0.0,0.08
0.075,0.5,7,0.9743606678627347,9.801654710309546e-5,0.9619281487438673,0.7021851220287029,0.07250388157700655,0.0,0.075
0.075,0.5,8,0.9727845670747373,0.00014769103580137362,0.9725619923878508,0.7080790510639094,0.07554428649908536,0.0,0.125
0.075,0.5,9,0.971725793995399,0.00018466162594463358,0.9772209023260208,0.7003755183969516,0.07921248350184934,0.0,0.105
0.075,0.5,10,0.9722239566139634,0.00024595651595445963,0.9829017299061167,0.7024222663270924,0.07530771219536629,0.0,0.07
0.075,0.5,11,0.972058348432909,0.00019919461678397554,0.9788454574245586,0.7043754467748015,0.07976673729254365,0.0,0.11
