sigma,step,phi
0.2,6076,0.9740699856306932
0.2,6101,0.9704278940408645
0.2,6126,0.9557434927137356
0.2,6151,0.9599996476912714
0.2,6176,0.980116444212974
0.2,6201,0.9689313241740537
0.2,6226,0.9687471667526838
0.2,6251,0.9740341071291887
0.2,6276,0.9772055034482577
0.2,6301,0.978054290146856
0.2,6326,0.9742787756398791
0.2,6351,0.9573205164370022
0.2,6376,0.9790112647317637
0.2,6401,0.9757308644268416
0.2,6426,0.9821947016900696
0.2,6451,0.9752384874998836
0.2,6476,0.9703011833273749
0.2,6501,0.9707924940533366
0.2,6526,0.9870831845037418
0.2,6551,0.9758848592448823
0.2,6576,0.9675524079091913
0.2,6601,0.961459422011312
0.2,6626,0.9804662650486428
0.2,6651,0.9771995582775077
0.2,6676,0.9758167870742651
0.2,6701,0.9832402856730058
0.2,6726,0.9762086752223977
0.2,6751,0.9653806874604073
0.2,6776,0.9825269515233896
0.2,6801,0.9799202188025352
0.2,6826,0.9779453869366287
0.2,6851,0.9760062937621983
0.2,6876,0.978744131206953
0.2,6901,0.9784392157372533
0.2,6926,0.9803084927750093
0.2,6951,0.9808807321948195
0.2,6976,0.9784291674014348
0.2,7001,0.9745586346913858
0.2,7026,0.9665459091128945
0.2,7051,0.9789448031236975
