N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.225,0.5,1,0.9437969866183539,0.893072609823671,0.8044762697549863,0.9912234545957396,0.0005463672495594762,0.22846162027673333
100,0.225,0.5,2,0.9408546446165552,0.8880497574039884,0.7971722142791865,0.9936329916483998,0.016084105361128143,0.2299965831638673
100,0.225,0.5,3,0.9547305748191643,0.9126787822236107,0.836783649094493,0.9873198671108699,0.009996984710027967,0.206412018875528
100,0.225,0.5,4,0.9535625688114644,0.9109880289199331,0.8352832061298403,0.9915488877162888,0.018220975499671832,0.23381430890776164
100,0.225,0.5,5,0.950915406075853,0.9062066038010613,0.8272337832806462,0.9926078244211332,0.011654023801313862,0.22048224731255175
100,0.225,0.5,6,0.9494468148016378,0.902919001241013,0.8200897770361182,0.9891813926423649,0.0013896765292017443,0.22656174023875716
100,0.225,0.5,7,0.9486652720117079,0.9021214729236572,0.8204340683103801,0.9922366402271736,0.012833016279111376,0.2293067797769786
100,0.225,0.5,8,0.9523745160475074,0.9096991251577707,0.8348443332300736,0.99419197512104,0.02371062691529824,0.20426757864377518
100,0.225,0.5,9,0.9503803640085001,0.9050363300597881,0.8248406107697123,0.9910151043663693,0.0037776006007268492,0.2315424759052734
100,0.225,0.5,10,0.9462909221036833,0.897120238566085,0.8101057016127661,0.9895118747480266,0.017915004796091316,0.23503147337235888
100,0.225,0.5,11,0.9528144147857661,0.9092031214804339,0.8310688174998729,0.989950201481284,0.003929234807399706,0.23914576951626643
100,0.225,0.5,12,0.9425181243175724,0.8914061092455416,0.8035064575261898,0.9941053840016575,0.0015405011422109371,0.2301257533698389
100,0.225,0.5,13,0.9335579809703187,0.8757566092081699,0.7784939538381195,0.9951434589104204,0.01350325819832654,0.2377312255063304
100,0.225,0.5,14,0.9502600522353477,0.9048410313990447,0.8243831117496833,0.9906984163418212,0.01336929399629383,0.18774940231170964
100,0.225,0.5,15,0.9505124812355851,0.9056420787954781,0.8267869088608528,0.9928462458254151,0.008212772105343547,0.21598097890352647
100,0.225,0.5,16,0.9405280260789295,0.8865962320343577,0.7924438849433851,0.9900639689755698,0.00014876851180489759,0.23595516637406197
100,0.25,0.5,1,0.9277792505670919,0.8646714606022697,0.7590410713267318,0.9943350019677868,0.0068483886904299185,0.2526163924848334
100,0.25,0.5,2,0.9314442881347204,0.8722335880052943,0.7727342198976931,0.9954009313875269,0.028284832659983383,0.2608406556762102
100,0.25,0.5,3,0.940559707875778,0.88824635889366,0.7986793414630605,0.9950834979622026,0.03196974350770421,0.238889863338459
100,0.25,0.5,4,0.9370419069063565,0.880673248906903,0.7834999085344251,0.9916629770209722,0.0021505639989101155,0.2657634372729422
100,0.25,0.5,5,0.9484243714918552,0.9011535981575395,0.817392196832073,0.9894590984453727,0.01859530287680311,0.23488538447902405
100,0.25,0.5,6,0.9231527779038974,0.8564100430255461,0.7452818640069603,0.9941996082641241,0.02364976635838356,0.25357222024343795
100,0.25,0.5,7,0.955158129974471,0.9135317001966854,0.8384518455518817,0.9877477405681607,0.0019657636061594097,0.22366862709437713
100,0.25,0.5,8,0.9504432843933502,0.9051443300111605,0.8248874123995058,0.9913145976960227,0.013113528855063672,0.22396663242877493
100,0.25,0.5,9,0.9542973636666037,0.9118812255545538,0.8355474786437833,0.9885930619579868,0.013231089320016043,0.24069631762971155
100,0.25,0.5,10,0.9274725851435686,0.8651867460696816,0.7630284172525192,0.9952030266032345,6.968769179505063e-5,0.25439566025642757
100,0.25,0.5,11,0.9262580363223122,0.8627557635722812,0.7571921466685366,0.995868151725888,0.0065243653530971946,0.26697826588076384
